21.27;27.40;21.05
20.45;27.27;21.17
21.40;27.54;20.89
21.51;27.44;21.16
19.59;27.34;20.95
20.74;27.50;21.44
20.51;27.47;20.55
19.88;27.56;21.34
20.99;27.17;21.15
19.83;27.50;20.87
21.67;27.29;20.88
20.25;27.43;21.04
20.94;27.49;21.28
21.18;27.56;21.10
20.86;27.36;21.44
21.26;27.33;20.87
20.85;27.34;21.10
21.32;27.42;21.52
21.06;27.29;21.13
20.36;27.34;21.26
19.93;27.37;21.26
20.82;27.30;21.10
20.27;27.41;21.23
19.91;27.15;21.00
21.20;27.37;21.31
21.04;26.99;21.68
21.02;27.22;21.62
20.71;25.58;21.30
20.58;24.01;21.49
19.56;26.52;21.53
20.42;26.31;21.23
21.12;23.79;21.99
21.55;24.97;21.41
20.34;24.65;21.64
20.93;24.08;21.35
20.14;25.40;21.11
20.57;23.53;21.31
20.30;25.85;21.16
20.10;25.29;21.02
21.45;26.67;21.02
19.84;27.13;21.38
19.61;27.11;21.20
20.94;27.30;21.35
20.31;27.02;20.94
20.67;27.21;20.81
21.16;27.21;21.47
20.48;27.46;21.11
20.99;27.47;21.12
20.17;27.32;21.53
20.95;27.55;21.19
19.94;27.40;21.21
21.12;27.41;21.05
20.61;27.23;21.16
19.91;27.28;21.29
20.84;27.21;21.00
21.09;26.98;21.17
20.16;27.27;21.11
19.70;27.49;20.73
21.60;27.13;21.07
20.14;27.55;21.04
21.49;27.45;21.14
19.30;27.16;20.81
20.10;27.54;21.25
20.64;27.47;21.35
20.09;27.28;20.85
20.71;27.35;20.93
20.31;27.26;21.00
20.27;27.19;21.27
20.25;27.35;20.94
19.66;27.38;21.63
20.65;27.49;21.17
19.87;27.29;21.47
21.19;27.28;21.33
19.88;27.39;21.11
20.33;27.57;21.13
19.81;27.23;21.13
20.82;27.45;21.13
21.28;27.56;21.35
19.94;27.53;21.11
20.96;26.84;21.16
21.09;27.34;21.15
20.98;27.41;21.21
20.21;26.96;20.94
19.44;27.37;20.96
20.18;27.52;21.36
19.66;27.23;20.84
20.69;27.43;20.82
19.98;27.24;20.90
18.95;27.20;21.23
18.54;27.23;21.09
20.11;27.35;21.04
18.12;27.35;21.02
19.00;27.43;21.35
20.39;27.46;20.85
19.39;27.38;21.14
20.05;27.48;21.21
19.72;27.20;21.05
