20.52;27.52;21.10
21.07;27.41;21.22
20.80;27.51;21.25
20.93;27.44;21.21
20.91;27.46;21.07
20.84;27.46;21.15
20.78;27.53;21.17
21.20;27.53;21.20
20.96;27.44;21.22
21.01;27.33;21.11
20.91;27.48;21.19
20.80;27.42;21.15
20.87;27.51;21.16
20.73;27.56;21.19
20.84;27.39;21.26
20.76;27.39;21.12
21.01;27.38;21.21
20.76;27.32;21.11
20.70;27.34;21.27
20.69;27.46;21.21
20.78;27.57;21.15
20.62;27.36;21.23
20.87;27.47;21.24
20.86;27.40;21.21
20.68;27.52;21.15
20.80;27.41;21.20
20.88;27.36;21.14
20.71;27.41;21.11
20.74;27.37;21.11
21.01;27.37;21.19
20.95;27.53;21.18
20.80;27.31;21.14
20.76;27.37;21.14
20.72;27.13;21.16
20.66;27.32;21.21
20.75;27.40;21.19
20.81;27.47;21.24
20.87;27.24;21.23
20.80;27.31;21.22
20.61;27.31;21.16
20.88;27.35;21.22
20.89;27.29;21.13
20.78;27.33;21.13
20.87;27.27;21.14
20.81;27.43;21.11
20.88;27.29;21.18
20.71;27.24;21.31
20.94;27.24;21.14
20.85;27.33;21.19
20.63;27.46;21.16
20.54;27.29;21.18
20.57;27.24;21.26
20.93;27.26;21.18
20.70;27.20;21.01
20.77;27.35;21.22
20.63;27.16;21.13
20.73;27.27;21.14
20.74;27.31;21.19
20.78;27.22;21.22
20.73;27.31;21.14
20.88;27.32;21.20
20.57;27.40;21.26
20.77;27.30;21.25
20.59;27.26;21.17
20.86;27.35;21.23
20.35;27.40;21.19
20.61;27.09;21.10
20.81;27.27;21.25
20.87;27.24;21.18
20.56;27.20;21.29
20.76;27.20;21.08
20.59;27.20;21.21
20.82;27.14;21.16
20.74;27.27;21.20
20.70;27.29;21.12
20.77;27.11;21.15
20.58;27.23;21.16
20.67;27.26;21.20
20.66;27.22;21.15
20.56;27.13;21.14
20.66;27.20;21.20
20.82;27.21;21.18
20.69;27.20;21.15
20.64;27.27;21.16
20.60;27.24;21.17
20.31;27.20;21.21
20.71;27.16;21.17
20.83;27.23;21.23
20.83;27.19;21.13
20.81;27.14;21.16
20.71;27.16;21.19
20.62;27.11;21.11
20.49;27.14;21.07
20.58;27.25;21.18
20.54;27.18;21.23
20.67;27.31;21.23
20.76;27.21;21.24
